date,country,trade_type,commodity_category,trade_value_mn_usd
2015-01,Zimbabwe,import,fuel,122.213
2015-01,Zimbabwe,import,machinery,82.025
2015-01,Zimbabwe,import,vehicles,45.564
2015-01,Zimbabwe,import,electrical_equip,44.019
2015-01,Zimbabwe,import,food_beverages,43.521
2015-01,Zimbabwe,import,fertilisers,24.854
2015-01,Zimbabwe,import,chemicals,28.064
2015-01,Zimbabwe,import,textiles_clothing,22.18
2015-01,Zimbabwe,import,agriculture_inputs,20.434
2015-01,Zimbabwe,import,other,148.813
2015-02,Zimbabwe,import,fuel,102.665
2015-02,Zimbabwe,import,machinery,59.904
2015-02,Zimbabwe,import,vehicles,39.665
2015-02,Zimbabwe,import,electrical_equip,32.318
2015-02,Zimbabwe,import,food_beverages,31.649
2015-02,Zimbabwe,import,fertilisers,17.882
2015-02,Zimbabwe,import,chemicals,34.974
2015-02,Zimbabwe,import,textiles_clothing,14.627
2015-02,Zimbabwe,import,agriculture_inputs,15.525
2015-02,Zimbabwe,import,other,128.434
2015-03,Zimbabwe,import,fuel,96.041
2015-03,Zimbabwe,import,machinery,67.902
2015-03,Zimbabwe,import,vehicles,31.231
2015-03,Zimbabwe,import,electrical_equip,32.099
2015-03,Zimbabwe,import,food_beverages,37.626
2015-03,Zimbabwe,import,fertilisers,23.397
2015-03,Zimbabwe,import,chemicals,19.838
2015-03,Zimbabwe,import,textiles_clothing,23.11
2015-03,Zimbabwe,import,agriculture_inputs,21.894
2015-03,Zimbabwe,import,other,151.922
2015-04,Zimbabwe,import,fuel,102.196
2015-04,Zimbabwe,import,machinery,68.093
2015-04,Zimbabwe,import,vehicles,45.642
2015-04,Zimbabwe,import,electrical_equip,35.876
2015-04,Zimbabwe,import,food_beverages,29.226
2015-04,Zimbabwe,import,fertilisers,16.686
2015-04,Zimbabwe,import,chemicals,24.41
2015-04,Zimbabwe,import,textiles_clothing,28.99
2015-04,Zimbabwe,import,agriculture_inputs,21.648
2015-04,Zimbabwe,import,other,136.792
2015-05,Zimbabwe,import,fuel,98.823
2015-05,Zimbabwe,import,machinery,62.871
2015-05,Zimbabwe,import,vehicles,39.53
2015-05,Zimbabwe,import,electrical_equip,34.756
2015-05,Zimbabwe,import,food_beverages,34.345
2015-05,Zimbabwe,import,fertilisers,18.762
2015-05,Zimbabwe,import,chemicals,19.452
2015-05,Zimbabwe,import,textiles_clothing,15.181
2015-05,Zimbabwe,import,agriculture_inputs,17.651
2015-05,Zimbabwe,import,other,134.429
2015-06,Zimbabwe,import,fuel,93.78
2015-06,Zimbabwe,import,machinery,67.169
2015-06,Zimbabwe,import,vehicles,44.798
2015-06,Zimbabwe,import,electrical_equip,36.637
2015-06,Zimbabwe,import,food_beverages,32.683
2015-06,Zimbabwe,import,fertilisers,20.294
2015-06,Zimbabwe,import,chemicals,22.885
2015-06,Zimbabwe,import,textiles_clothing,17.601
2015-06,Zimbabwe,import,agriculture_inputs,20.375
2015-06,Zimbabwe,import,other,131.473
2015-07,Zimbabwe,import,fuel,104.7
2015-07,Zimbabwe,import,machinery,74.037
2015-07,Zimbabwe,import,vehicles,38.227
2015-07,Zimbabwe,import,electrical_equip,38.211
2015-07,Zimbabwe,import,food_beverages,43.295
2015-07,Zimbabwe,import,fertilisers,23.793
2015-07,Zimbabwe,import,chemicals,28.669
2015-07,Zimbabwe,import,textiles_clothing,21.749
2015-07,Zimbabwe,import,agriculture_inputs,23.966
2015-07,Zimbabwe,import,other,177.822
2015-08,Zimbabwe,import,fuel,114.658
2015-08,Zimbabwe,import,machinery,68.079
2015-08,Zimbabwe,import,vehicles,48.695
2015-08,Zimbabwe,import,electrical_equip,35.423
2015-08,Zimbabwe,import,food_beverages,35.998
2015-08,Zimbabwe,import,fertilisers,27.391
2015-08,Zimbabwe,import,chemicals,29.956
2015-08,Zimbabwe,import,textiles_clothing,31.693
2015-08,Zimbabwe,import,agriculture_inputs,28.575
2015-08,Zimbabwe,import,other,167.397
2015-09,Zimbabwe,import,fuel,106.946
2015-09,Zimbabwe,import,machinery,57.428
2015-09,Zimbabwe,import,vehicles,37.784
2015-09,Zimbabwe,import,electrical_equip,33.837
2015-09,Zimbabwe,import,food_beverages,32.273
2015-09,Zimbabwe,import,fertilisers,22.206
2015-09,Zimbabwe,import,chemicals,25.074
2015-09,Zimbabwe,import,textiles_clothing,19.807
2015-09,Zimbabwe,import,agriculture_inputs,26.753
2015-09,Zimbabwe,import,other,138.626
2015-10,Zimbabwe,import,fuel,109.634
2015-10,Zimbabwe,import,machinery,72.755
2015-10,Zimbabwe,import,vehicles,42.91
2015-10,Zimbabwe,import,electrical_equip,43.154
2015-10,Zimbabwe,import,food_beverages,34.855
2015-10,Zimbabwe,import,fertilisers,20.231
2015-10,Zimbabwe,import,chemicals,22.218
2015-10,Zimbabwe,import,textiles_clothing,17.996
2015-10,Zimbabwe,import,agriculture_inputs,20.009
2015-10,Zimbabwe,import,other,137.63
2015-11,Zimbabwe,import,fuel,97.231
2015-11,Zimbabwe,import,machinery,60.418
2015-11,Zimbabwe,import,vehicles,43.419
2015-11,Zimbabwe,import,electrical_equip,31.658
2015-11,Zimbabwe,import,food_beverages,37.488
2015-11,Zimbabwe,import,fertilisers,14.787
2015-11,Zimbabwe,import,chemicals,20.205
2015-11,Zimbabwe,import,textiles_clothing,18.713
2015-11,Zimbabwe,import,agriculture_inputs,16.523
2015-11,Zimbabwe,import,other,130.956
2015-12,Zimbabwe,import,fuel,97.183
2015-12,Zimbabwe,import,machinery,62.492
2015-12,Zimbabwe,import,vehicles,33.341
2015-12,Zimbabwe,import,electrical_equip,34.24
2015-12,Zimbabwe,import,food_beverages,44.067
2015-12,Zimbabwe,import,fertilisers,18.923
2015-12,Zimbabwe,import,chemicals,23.865
2015-12,Zimbabwe,import,textiles_clothing,27.964
2015-12,Zimbabwe,import,agriculture_inputs,34.598
2015-12,Zimbabwe,import,other,130.029
2016-01,Zimbabwe,import,fuel,137.038
2016-01,Zimbabwe,import,machinery,71.316
2016-01,Zimbabwe,import,vehicles,38.02
2016-01,Zimbabwe,import,electrical_equip,43.814
2016-01,Zimbabwe,import,food_beverages,32.513
2016-01,Zimbabwe,import,fertilisers,20.439
2016-01,Zimbabwe,import,chemicals,25.459
2016-01,Zimbabwe,import,textiles_clothing,21.516
2016-01,Zimbabwe,import,agriculture_inputs,17.571
2016-01,Zimbabwe,import,other,141.238
2016-02,Zimbabwe,import,fuel,90.647
2016-02,Zimbabwe,import,machinery,62.778
2016-02,Zimbabwe,import,vehicles,40.377
2016-02,Zimbabwe,import,electrical_equip,24.127
2016-02,Zimbabwe,import,food_beverages,26.425
2016-02,Zimbabwe,import,fertilisers,28.932
2016-02,Zimbabwe,import,chemicals,17.929
2016-02,Zimbabwe,import,textiles_clothing,13.161
2016-02,Zimbabwe,import,agriculture_inputs,14.749
2016-02,Zimbabwe,import,other,103.658
2016-03,Zimbabwe,import,fuel,76.742
2016-03,Zimbabwe,import,machinery,53.424
2016-03,Zimbabwe,import,vehicles,32.145
2016-03,Zimbabwe,import,electrical_equip,24.64
2016-03,Zimbabwe,import,food_beverages,37.405
2016-03,Zimbabwe,import,fertilisers,15.523
2016-03,Zimbabwe,import,chemicals,19.962
2016-03,Zimbabwe,import,textiles_clothing,15.53
2016-03,Zimbabwe,import,agriculture_inputs,16.603
2016-03,Zimbabwe,import,other,144.912
2016-04,Zimbabwe,import,fuel,97.098
2016-04,Zimbabwe,import,machinery,59.534
2016-04,Zimbabwe,import,vehicles,31.281
2016-04,Zimbabwe,import,electrical_equip,27.899
2016-04,Zimbabwe,import,food_beverages,29.593
2016-04,Zimbabwe,import,fertilisers,16.033
2016-04,Zimbabwe,import,chemicals,24.441
2016-04,Zimbabwe,import,textiles_clothing,13.914
2016-04,Zimbabwe,import,agriculture_inputs,21.275
2016-04,Zimbabwe,import,other,126.455
2016-05,Zimbabwe,import,fuel,78.682
2016-05,Zimbabwe,import,machinery,56.439
2016-05,Zimbabwe,import,vehicles,32.967
2016-05,Zimbabwe,import,electrical_equip,27.009
2016-05,Zimbabwe,import,food_beverages,27.915
2016-05,Zimbabwe,import,fertilisers,20.605
2016-05,Zimbabwe,import,chemicals,30.235
2016-05,Zimbabwe,import,textiles_clothing,16.798
2016-05,Zimbabwe,import,agriculture_inputs,20.089
2016-05,Zimbabwe,import,other,128.534
2016-06,Zimbabwe,import,fuel,102.287
2016-06,Zimbabwe,import,machinery,59.434
2016-06,Zimbabwe,import,vehicles,40.874
2016-06,Zimbabwe,import,electrical_equip,33.894
2016-06,Zimbabwe,import,food_beverages,29.122
2016-06,Zimbabwe,import,fertilisers,20.826
2016-06,Zimbabwe,import,chemicals,20.583
2016-06,Zimbabwe,import,textiles_clothing,25.803
2016-06,Zimbabwe,import,agriculture_inputs,15.839
2016-06,Zimbabwe,import,other,126.503
2016-07,Zimbabwe,import,fuel,91.299
2016-07,Zimbabwe,import,machinery,78.049
2016-07,Zimbabwe,import,vehicles,49.356
2016-07,Zimbabwe,import,electrical_equip,33.772
2016-07,Zimbabwe,import,food_beverages,30.839
2016-07,Zimbabwe,import,fertilisers,19.644
2016-07,Zimbabwe,import,chemicals,21.079
2016-07,Zimbabwe,import,textiles_clothing,17.53
2016-07,Zimbabwe,import,agriculture_inputs,20.982
2016-07,Zimbabwe,import,other,133.79
2016-08,Zimbabwe,import,fuel,103.372
2016-08,Zimbabwe,import,machinery,71.58
2016-08,Zimbabwe,import,vehicles,44.595
2016-08,Zimbabwe,import,electrical_equip,32.896
2016-08,Zimbabwe,import,food_beverages,32.151
2016-08,Zimbabwe,import,fertilisers,22.498
2016-08,Zimbabwe,import,chemicals,24.488
2016-08,Zimbabwe,import,textiles_clothing,23.282
2016-08,Zimbabwe,import,agriculture_inputs,17.511
2016-08,Zimbabwe,import,other,140.576
2016-09,Zimbabwe,import,fuel,110.885
2016-09,Zimbabwe,import,machinery,63.014
2016-09,Zimbabwe,import,vehicles,31.275
2016-09,Zimbabwe,import,electrical_equip,39.556
2016-09,Zimbabwe,import,food_beverages,36.921
2016-09,Zimbabwe,import,fertilisers,18.061
2016-09,Zimbabwe,import,chemicals,35.939
2016-09,Zimbabwe,import,textiles_clothing,16.773
2016-09,Zimbabwe,import,agriculture_inputs,19.732
2016-09,Zimbabwe,import,other,142.796
2016-10,Zimbabwe,import,fuel,84.312
2016-10,Zimbabwe,import,machinery,60.236
2016-10,Zimbabwe,import,vehicles,45.355
2016-10,Zimbabwe,import,electrical_equip,31.813
2016-10,Zimbabwe,import,food_beverages,31.522
2016-10,Zimbabwe,import,fertilisers,24.864
2016-10,Zimbabwe,import,chemicals,19.622
2016-10,Zimbabwe,import,textiles_clothing,23.077
2016-10,Zimbabwe,import,agriculture_inputs,14.813
2016-10,Zimbabwe,import,other,146.426
2016-11,Zimbabwe,import,fuel,84.18
2016-11,Zimbabwe,import,machinery,55.772
2016-11,Zimbabwe,import,vehicles,31.685
2016-11,Zimbabwe,import,electrical_equip,36.653
2016-11,Zimbabwe,import,food_beverages,32.522
2016-11,Zimbabwe,import,fertilisers,21.691
2016-11,Zimbabwe,import,chemicals,23.54
2016-11,Zimbabwe,import,textiles_clothing,16.614
2016-11,Zimbabwe,import,agriculture_inputs,20.698
2016-11,Zimbabwe,import,other,135.703
2016-12,Zimbabwe,import,fuel,90.205
2016-12,Zimbabwe,import,machinery,55.228
2016-12,Zimbabwe,import,vehicles,35.081
2016-12,Zimbabwe,import,electrical_equip,29.601
