date,partner_country,region,trade_type,trade_value_mn_usd
2015-01,South Africa,SADC,import,227.379
2015-01,China,Asia,import,120.55
2015-01,UAE,Middle East,import,42.059
2015-01,India,Asia,import,32.877
2015-01,Zambia,SADC,import,27.81
2015-01,Mozambique,SADC,import,18.204
2015-01,Singapore,Asia,import,13.458
2015-01,United States,Americas,import,15.839
2015-01,United Kingdom,Europe,import,14.09
2015-01,Botswana,SADC,import,10.285
2015-01,Other,Other,import,59.136
2015-02,South Africa,SADC,import,180.3
2015-02,China,Asia,import,92.102
2015-02,UAE,Middle East,import,29.578
2015-02,India,Asia,import,37.601
2015-02,Zambia,SADC,import,19.875
2015-02,Mozambique,SADC,import,18.829
2015-02,Singapore,Asia,import,18.7
2015-02,United States,Americas,import,15.262
2015-02,United Kingdom,Europe,import,6.929
2015-02,Botswana,SADC,import,7.258
2015-02,Other,Other,import,51.21
2015-03,South Africa,SADC,import,184.545
2015-03,China,Asia,import,98.934
2015-03,UAE,Middle East,import,34.907
2015-03,India,Asia,import,36.531
2015-03,Zambia,SADC,import,27.125
2015-03,Mozambique,SADC,import,24.504
2015-03,Singapore,Asia,import,14.859
2015-03,United States,Americas,import,12.186
2015-03,United Kingdom,Europe,import,7.131
2015-03,Botswana,SADC,import,16.823
2015-03,Other,Other,import,47.515
2015-04,South Africa,SADC,import,200.186
2015-04,China,Asia,import,98.746
2015-04,UAE,Middle East,import,34.149
2015-04,India,Asia,import,26.13
2015-04,Zambia,SADC,import,23.603
2015-04,Mozambique,SADC,import,25.526
2015-04,Singapore,Asia,import,22.084
2015-04,United States,Americas,import,11.91
2015-04,United Kingdom,Europe,import,13.961
2015-04,Botswana,SADC,import,8.341
2015-04,Other,Other,import,44.924
2015-05,South Africa,SADC,import,184.272
2015-05,China,Asia,import,94.087
2015-05,UAE,Middle East,import,37.72
2015-05,India,Asia,import,26.51
2015-05,Zambia,SADC,import,23.827
2015-05,Mozambique,SADC,import,18.838
2015-05,Singapore,Asia,import,16.297
2015-05,United States,Americas,import,11.32
2015-05,United Kingdom,Europe,import,10.196
2015-05,Botswana,SADC,import,9.556
2015-05,Other,Other,import,43.177
2015-06,South Africa,SADC,import,179.095
2015-06,China,Asia,import,92.901
2015-06,UAE,Middle East,import,36.515
2015-06,India,Asia,import,27.618
2015-06,Zambia,SADC,import,18.721
2015-06,Mozambique,SADC,import,31.382
2015-06,Singapore,Asia,import,17.481
2015-06,United States,Americas,import,21.851
2015-06,United Kingdom,Europe,import,9.484
2015-06,Botswana,SADC,import,7.286
2015-06,Other,Other,import,45.362
2015-07,South Africa,SADC,import,225.649
2015-07,China,Asia,import,103.309
2015-07,UAE,Middle East,import,53.968
2015-07,India,Asia,import,30.719
2015-07,Zambia,SADC,import,31.15
2015-07,Mozambique,SADC,import,30.078
2015-07,Singapore,Asia,import,16.903
2015-07,United States,Americas,import,23.564
2015-07,United Kingdom,Europe,import,8.159
2015-07,Botswana,SADC,import,8.776
2015-07,Other,Other,import,42.194
2015-08,South Africa,SADC,import,214.179
2015-08,China,Asia,import,112.016
2015-08,UAE,Middle East,import,36.728
2015-08,India,Asia,import,27.698
2015-08,Zambia,SADC,import,41.205
2015-08,Mozambique,SADC,import,31.321
2015-08,Singapore,Asia,import,14.979
2015-08,United States,Americas,import,34.867
2015-08,United Kingdom,Europe,import,11.741
2015-08,Botswana,SADC,import,11.559
2015-08,Other,Other,import,51.57
2015-09,South Africa,SADC,import,177.664
2015-09,China,Asia,import,104.571
2015-09,UAE,Middle East,import,45.296
2015-09,India,Asia,import,25.84
2015-09,Zambia,SADC,import,17.834
2015-09,Mozambique,SADC,import,22.114
2015-09,Singapore,Asia,import,11.82
2015-09,United States,Americas,import,13.352
2015-09,United Kingdom,Europe,import,10.686
2015-09,Botswana,SADC,import,14.483
2015-09,Other,Other,import,57.074
2015-10,South Africa,SADC,import,188.075
2015-10,China,Asia,import,119.978
2015-10,UAE,Middle East,import,39.886
2015-10,India,Asia,import,25.67
2015-10,Zambia,SADC,import,27.588
2015-10,Mozambique,SADC,import,18.284
2015-10,Singapore,Asia,import,18.547
2015-10,United States,Americas,import,20.132
2015-10,United Kingdom,Europe,import,8.006
2015-10,Botswana,SADC,import,9.403
2015-10,Other,Other,import,45.824
2015-11,South Africa,SADC,import,183.655
2015-11,China,Asia,import,91.413
2015-11,UAE,Middle East,import,43.293
2015-11,India,Asia,import,32.154
2015-11,Zambia,SADC,import,24.842
2015-11,Mozambique,SADC,import,16.267
2015-11,Singapore,Asia,import,11.084
2015-11,United States,Americas,import,11.221
2015-11,United Kingdom,Europe,import,7.454
2015-11,Botswana,SADC,import,10.841
2015-11,Other,Other,import,39.173
2015-12,South Africa,SADC,import,197.129
2015-12,China,Asia,import,104.4
2015-12,UAE,Middle East,import,34.74
2015-12,India,Asia,import,31.638
2015-12,Zambia,SADC,import,25.434
2015-12,Mozambique,SADC,import,19.312
2015-12,Singapore,Asia,import,12.746
2015-12,United States,Americas,import,11.751
2015-12,United Kingdom,Europe,import,9.183
2015-12,Botswana,SADC,import,10.236
2015-12,Other,Other,import,50.133
2016-01,South Africa,SADC,import,191.889
2016-01,China,Asia,import,102.441
2016-01,UAE,Middle East,import,48.227
2016-01,India,Asia,import,50.963
2016-01,Zambia,SADC,import,23.133
2016-01,Mozambique,SADC,import,20.705
2016-01,Singapore,Asia,import,15.257
2016-01,United States,Americas,import,13.056
2016-01,United Kingdom,Europe,import,15.329
2016-01,Botswana,SADC,import,10.57
2016-01,Other,Other,import,57.354
2016-02,South Africa,SADC,import,146.435
2016-02,China,Asia,import,97.153
2016-02,UAE,Middle East,import,33.338
2016-02,India,Asia,import,22.316
2016-02,Zambia,SADC,import,21.585
2016-02,Mozambique,SADC,import,20.741
2016-02,Singapore,Asia,import,10.639
2016-02,United States,Americas,import,11.005
2016-02,United Kingdom,Europe,import,15.925
2016-02,Botswana,SADC,import,5.864
2016-02,Other,Other,import,37.782
2016-03,South Africa,SADC,import,159.116
2016-03,China,Asia,import,93.03
2016-03,UAE,Middle East,import,39.037
2016-03,India,Asia,import,26.968
2016-03,Zambia,SADC,import,15.604
2016-03,Mozambique,SADC,import,16.8
2016-03,Singapore,Asia,import,16.718
2016-03,United States,Americas,import,13.622
2016-03,United Kingdom,Europe,import,7.301
2016-03,Botswana,SADC,import,8.703
2016-03,Other,Other,import,39.99
2016-04,South Africa,SADC,import,170.534
2016-04,China,Asia,import,90.5
2016-04,UAE,Middle East,import,34.305
2016-04,India,Asia,import,26.502
2016-04,Zambia,SADC,import,17.564
2016-04,Mozambique,SADC,import,18.636
2016-04,Singapore,Asia,import,14.581
2016-04,United States,Americas,import,14.198
2016-04,United Kingdom,Europe,import,8.756
2016-04,Botswana,SADC,import,12.776
2016-04,Other,Other,import,39.169
2016-05,South Africa,SADC,import,164.091
2016-05,China,Asia,import,86.811
2016-05,UAE,Middle East,import,31.153
2016-05,India,Asia,import,28.487
2016-05,Zambia,SADC,import,29.968
2016-05,Mozambique,SADC,import,17.947
2016-05,Singapore,Asia,import,12.373
2016-05,United States,Americas,import,17.709
2016-05,United Kingdom,Europe,import,10.11
2016-05,Botswana,SADC,import,6.495
2016-05,Other,Other,import,34.128
2016-06,South Africa,SADC,import,170.66
2016-06,China,Asia,import,102.182
2016-06,UAE,Middle East,import,45.109
2016-06,India,Asia,import,27.028
2016-06,Zambia,SADC,import,27.718
2016-06,Mozambique,SADC,import,19.285
2016-06,Singapore,Asia,import,11.906
2016-06,United States,Americas,import,12.254
2016-06,United Kingdom,Europe,import,6.951
2016-06,Botswana,SADC,import,9.646
2016-06,Other,Other,import,42.425
2016-07,South Africa,SADC,import,202.948
2016-07,China,Asia,import,91.095
2016-07,UAE,Middle East,import,44.632
2016-07,India,Asia,import,33.304
2016-07,Zambia,SADC,import,24.343
2016-07,Mozambique,SADC,import,22.176
2016-07,Singapore,Asia,import,11.344
2016-07,United States,Americas,import,10.661
2016-07,United Kingdom,Europe,import,7.772
2016-07,Botswana,SADC,import,7.152
2016-07,Other,Other,import,40.914
2016-08,South Africa,SADC,import,199.391
2016-08,China,Asia,import,107.06
2016-08,UAE,Middle East,import,42.926
2016-08,India,Asia,import,35.736
2016-08,Zambia,SADC,import,21.628
2016-08,Mozambique,SADC,import,21.176
2016-08,Singapore,Asia,import,13.291
2016-08,United States,Americas,import,11.194
2016-08,United Kingdom,Europe,import,7.643
2016-08,Botswana,SADC,import,11.234
2016-08,Other,Other,import,41.671
2016-09,South Africa,SADC,import,192.302
2016-09,China,Asia,import,110.187
2016-09,UAE,Middle East,import,44.027
2016-09,India,Asia,import,26.786
2016-09,Zambia,SADC,import,20.57
2016-09,Mozambique,SADC,import,19.231
2016-09,Singapore,Asia,import,15.584
2016-09,United States,Americas,import,16.545
2016-09,United Kingdom,Europe,import,8.857
2016-09,Botswana,SADC,import,8.569
2016-09,Other,Other,import,52.295
2016-10,South Africa,SADC,import,173.827
2016-10,China,Asia,import,119.005
2016-10,UAE,Middle East,import,32.823
2016-10,India,Asia,import,24.205
2016-10,Zambia,SADC,import,25.498
2016-10,Mozambique,SADC,import,17.282
2016-10,Singapore,Asia,import,20.705
2016-10,United States,Americas,import,15.658
2016-10,United Kingdom,Europe,import,6.444
2016-10,Botswana,SADC,import,7.796
2016-10,Other,Other,import,38.797
2016-11,South Africa,SADC,import,162.416
2016-11,China,Asia,import,93.85
2016-11,UAE,Middle East,import,35.827
2016-11,India,Asia,import,37.917
