,importance
quarter,48.702713
regional_trade_share_sadc,15.137142
month,14.923763
growth_rate_mom,12.586378
inflation_log,9.068807
lag_3,8.394972
lag_12,7.788574
commodity_price_index,7.737793
trade_concentration_hhi,7.3897266
lag_1,5.9820185
top_partner_share,4.8033886
lag_6,4.6720953
exchange_rate_log,3.9618733
drought_indicator,3.9612935
rolling_mean_3,3.7848883
gdp_proxy_bn_usd,3.690379
fuel_price_usd_litre,3.4596896
rolling_std_3,3.4379475
currency_crisis,0.0
num_partners,0.0
covid_dummy,0.0
