,importance
month,23.962742
drought_indicator,18.50776
quarter,10.063497
exchange_rate_log,7.938955
top_partner_share,7.4418097
regional_trade_share_sadc,7.2043185
inflation_log,7.0761585
commodity_price_index,6.443037
growth_rate_mom,5.3882008
trade_concentration_hhi,5.0555964
gdp_proxy_bn_usd,3.0542874
fuel_price_usd_litre,2.2402987
lag_3,1.852634
lag_1,1.8380296
lag_6,1.6991645
rolling_mean_3,1.5932786
rolling_std_3,1.1667752
lag_12,1.0616692
currency_crisis,0.0
num_partners,0.0
covid_dummy,0.0
